Model,Metric,Mean,CI_Lower,CI_Upper
Monolithic Baseline,Accuracy,0.8999566666666666,0.8633333333333333,0.9333333333333333
Monolithic Baseline,Precision,0.8035381667186294,0.6749854651162791,0.909141414141414
Monolithic Baseline,Recall,0.6710695957038797,0.5522388059701493,0.7924827792752321
Monolithic Baseline,F1-Score,0.729536385541212,0.6285434173669467,0.8190632318501171
Monolithic Baseline,AUC-ROC,0.9611763711371557,0.9402257150889031,0.9785423182141932
Monolithic Baseline,AUC-PR,0.8634141854818617,0.7838815677109748,0.9245494416621056
HEL Framework,Accuracy,0.8935599999999999,0.86,0.9266666666666666
HEL Framework,Precision,0.8083258060082701,0.6829268292682927,0.9152895480225989
HEL Framework,Recall,0.6232652251774918,0.5,0.7413932146829811
HEL Framework,F1-Score,0.7017797339854058,0.5964827935222672,0.7928844773977517
HEL Framework,AUC-ROC,0.9544432595756777,0.9313572499999999,0.973318442442295
HEL Framework,AUC-PR,0.84581228958723,0.7637104642233864,0.9139231470298185
