Age,Gender,Marital_Status,Income_Level,Transaction_Frequency,Total_Monetary_Value,Avg_Transaction_Value,Category_Diversity,Total_Interactions,Complaint_Count,Unresolved_Complaint_Ratio,Login_Frequency,Days_Since_Last_Login,Service_Channel,Churn
62,Male,Single,Low,1,416.5,416.5,1,1.0,0.0,0.0,34,72,Mobile App,0
65,Male,Married,Low,7,1547.4199999999998,221.05999999999997,4,1.0,0.0,0.0,5,27,Website,1
18,Male,Single,Low,6,1702.98,283.83,4,1.0,0.0,0.0,3,47,Website,0
21,Male,Widowed,Low,5,917.29,183.458,4,2.0,0.0,0.0,2,129,Website,0
21,Male,Divorced,Medium,8,2001.49,250.18625,3,0.0,0.0,0.0,41,66,Website,0
57,Female,Divorced,Medium,5,1164.29,232.858,4,1.0,0.0,0.0,2,106,Website,0
27,Female,Married,High,1,86.73,86.73,1,0.0,0.0,0.0,32,359,Mobile App,0
37,Male,Single,Low,7,2046.88,292.4114285714286,4,2.0,0.0,0.0,17,254,Online Banking,1
39,Male,Divorced,High,5,1317.24,263.448,3,1.0,0.0,0.0,24,188,Website,0
68,Male,Married,High,7,1397.36,199.62285714285713,4,0.0,0.0,0.0,29,353,Online Banking,1
54,Male,Divorced,Medium,5,1733.83,346.76599999999996,2,2.0,0.0,0.0,30,344,Online Banking,0
41,Female,Married,Low,1,87.1,87.1,1,2.0,0.0,0.0,43,1,Website,0
24,Female,Divorced,Low,3,392.02,130.67333333333332,3,1.0,1.0,0.0,10,180,Mobile App,0
42,Male,Widowed,Medium,9,2843.59,315.95444444444445,4,2.0,1.0,1.0,26,356,Online Banking,0
42,Male,Divorced,Medium,8,1914.02,239.2525,5,2.0,1.0,1.0,44,200,Online Banking,0
30,Female,Single,Medium,9,2019.79,224.42111111111112,4,2.0,0.0,0.0,41,292,Online Banking,1
19,Male,Married,Low,7,1625.27,232.18142857142857,5,2.0,0.0,0.0,8,120,Online Banking,0
56,Female,Married,High,5,951.3800000000001,190.276,3,1.0,0.0,0.0,37,38,Website,1
57,Female,Divorced,High,5,1017.26,203.452,3,2.0,2.0,1.0,39,299,Online Banking,0
41,Male,Single,Low,9,2775.85,308.42777777777775,5,1.0,0.0,0.0,16,139,Website,0
64,Male,Divorced,High,5,913.02,182.60399999999998,2,0.0,0.0,0.0,18,199,Website,0
42,Female,Divorced,Low,6,1582.73,263.78833333333336,4,2.0,0.0,0.0,42,240,Mobile App,0
35,Female,Divorced,Low,4,1490.74,372.685,2,2.0,2.0,0.5,19,178,Mobile App,0
55,Male,Widowed,Medium,5,1143.22,228.644,4,1.0,1.0,0.0,12,89,Mobile App,0
43,Female,Married,Low,3,764.77,254.92333333333332,2,1.0,0.0,0.0,27,320,Mobile App,0
31,Male,Single,Medium,3,571.76,190.58666666666667,3,1.0,1.0,0.0,45,94,Mobile App,1
26,Male,Widowed,Medium,8,2210.6,276.325,5,1.0,0.0,0.0,22,92,Mobile App,0
27,Female,Widowed,High,6,1702.26,283.71,3,2.0,1.0,1.0,42,67,Online Banking,0
38,Female,Divorced,Medium,3,853.0699999999999,284.3566666666666,2,2.0,0.0,0.0,34,121,Website,0
69,Male,Divorced,High,2,706.66,353.33,2,2.0,2.0,0.5,38,173,Website,0
34,Male,Divorced,Low,5,1108.56,221.712,3,2.0,1.0,0.0,23,137,Online Banking,0
69,Female,Married,High,5,1225.52,245.10399999999998,4,0.0,0.0,0.0,48,360,Mobile App,0
23,Male,Divorced,High,2,689.0,344.5,2,1.0,0.0,0.0,24,227,Mobile App,1
33,Male,Widowed,High,9,1886.4,209.60000000000002,4,2.0,0.0,0.0,44,273,Online Banking,0
65,Male,Married,Low,3,779.8399999999999,259.94666666666666,3,1.0,1.0,1.0,19,223,Mobile App,0
18,Female,Widowed,Low,6,1321.5500000000002,220.25833333333335,4,1.0,0.0,0.0,6,324,Online Banking,0
36,Female,Married,Medium,9,3166.88,351.8755555555556,4,1.0,1.0,0.0,3,126,Online Banking,0
53,Female,Married,Low,3,874.86,291.62,2,1.0,0.0,0.0,47,35,Online Banking,0
42,Male,Married,Medium,5,1191.94,238.388,3,0.0,0.0,0.0,26,346,Online Banking,0
67,Female,Widowed,Low,7,1578.3500000000001,225.47857142857146,3,1.0,1.0,0.0,20,79,Website,0
69,Female,Married,High,2,363.22,181.61,2,1.0,0.0,0.0,38,181,Mobile App,1
47,Male,Widowed,Medium,3,530.61,176.87,2,0.0,0.0,0.0,10,168,Mobile App,0
37,Male,Single,Low,7,2213.63,316.23285714285714,4,2.0,0.0,0.0,25,221,Mobile App,0
