Feature,Mean_Abs_SHAP
Gender_Female,1.1221117
Login_Frequency,1.0277876
Income_Level_High,0.99180156
Marital_Status_Widowed,0.94115305
Marital_Status_Divorced,0.83282375
Service_Channel_Online Banking,0.76784265
Avg_Transaction_Value,0.7373326
Income_Level_Medium,0.70852894
Days_Since_Last_Login,0.70346266
Total_Interactions,0.67992216
Age,0.67236775
Service_Channel_Mobile App,0.6561198
Total_Monetary_Value,0.6531225
Gender_Male,0.61362237
Service_Channel_Website,0.5843473
Marital_Status_Married,0.5781318
Marital_Status_Single,0.40056142
Transaction_Frequency,0.38800713
Income_Level_Low,0.3769487
Category_Diversity,0.37500286
Complaint_Count,0.16764463
Unresolved_Complaint_Ratio,0.15084924
